YEARS	1	2	3	4	5	6	7	8	9	10	11	12
1943	1.254.000	6.040.000	3.900.000	7.550.000	8.010.000	8.530.000	8.270.000	8.150.000	7.370.000	3.600.000	1.550.000	5.670.000
1944	1.269.000	7.600.000	3.900.000	4.060.000	2.350.000	9.410.000	9.540.000	5.310.000	1.340.000	1.203.000	2.268.000	1.269.000
1945	1.084.000	1.094.000	3.900.000	6.370.000	1.060.000	6.830.000	5.170.000	1.194.000	9.640.000	3.760.000	5.170.000	1.178.000
1946	9.989.999	2.006.000	4.560.000	5.640.000	8.870.000	1.125.000	5.650.000	8.120.000	1.053.000	5.950.000	7.120.001	9.330.000
1947	6.210.000	5.430.000	1.375.000	9.170.000	5.840.000	5.630.000	9.540.000	3.440.000	4.230.000	3.020.000	1.388.000	2.181.000
1948	2.414.000	7.450.000	4.330.000	9.770.000	6.990.000	8.830.000	1.434.000	1.274.000	5.550.000	4.610.000	6.690.001	7.440.000
1949	6.140.000	4.560.000	6.060.001	4.960.000	1.011.000	3.680.000	1.260.000	8.270.000	6.720.000	7.180.000	1.046.000	1.230.000
1950	6.780.000	1.724.000	2.830.000	1.356.000	7.480.000	9.470.000	8.630.000	9.030.000	1.298.000	3.710.000	1.874.000	1.549.000
1951	1.390.000	8.910.000	1.312.000	9.270.000	7.750.000	1.020.000	7.150.000	9.820.000	8.940.000	1.870.000	1.674.000	8.700.000
1952	1.831.000	9.930.000	1.234.000	3.710.000	5.140.001	5.890.000	5.770.000	1.078.000	1.407.000	1.192.000	1.974.000	1.916.000
1953	3.039.999	7.810.000	1.370.000	6.480.000	4.810.001	1.098.000	1.196.000	4.950.000	5.390.000	3.710.000	2.090.000	4.770.000
1954	9.640.000	6.150.000	5.660.001	4.460.000	5.190.000	7.460.000	9.850.000	1.347.000	1.431.000	1.034.000	7.350.000	1.316.000
1955	1.341.000	1.167.000	4.300.000	2.120.000	1.020.000	7.480.000	7.660.000	4.290.000	6.630.000	6.550.000	3.990.000	1.730.000
1956	1.467.000	2.570.000	6.020.000	7.320.000	7.510.000	9.020.000	9.600.000	1.271.000	8.220.000	1.246.000	7.480.000	7.450.000
1957	7.820.000	1.868.000	8.520.000	3.220.000	5.360.000	7.170.000	9.620.000	9.980.000	1.593.000	5.510.000	4.550.000	7.490.000
1958	1.496.000	1.784.000	4.120.000	5.940.001	1.351.000	7.620.000	7.490.000	1.262.000	7.280.000	9.539.999	6.210.001	1.515.000
1959	1.329.000	6.000.000	8.300.000	8.750.000	4.450.000	5.690.000	4.040.000	5.140.000	8.699.997	6.610.000	6.630.000	1.376.000
1960	1.029.000	9.330.000	5.750.000	3.540.001	6.790.001	6.850.000	1.276.000	1.389.000	8.600.000	1.433.000	1.428.000	1.255.000
1961	1.751.000	1.034.000	3.270.000	9.150.000	7.680.000	1.241.000	1.105.000	5.860.000	7.590.000	1.420.000	1.284.000	1.395.000
1962	1.401.000	1.168.000	1.031.000	1.020.000	8.470.000	1.160.000	8.410.000	7.170.000	7.940.000	3.609.999	6.120.000	1.422.000
1963	4.930.000	3.500.000	9.580.001	4.210.001	7.740.000	1.067.000	4.250.000	1.150.000	6.710.000	7.439.999	1.704.000	1.210.001
1964	4.550.000	5.190.000	7.040.000	5.670.000	3.880.000	6.510.000	3.580.000	7.109.999	9.330.000	1.262.000	1.596.000	9.750.000
1965	1.895.000	4.690.000	9.780.001	1.240.000	1.093.000	1.016.000	1.358.000	1.008.000	1.196.000	2.680.000	1.688.000	2.830.000
1966	8.489.999	1.190.000	9.360.000	1.195.000	6.430.000	1.416.000	1.199.000	1.036.000	4.200.000	1.291.000	1.379.000	2.423.000
1967	6.909.999	8.940.000	8.430.000	5.200.000	9.390.000	4.820.000	6.220.000	1.000.000	1.260.000	1.255.000	1.154.000	1.508.000
1968	1.395.000	9.150.000	6.620.000	4.280.000	7.130.000	6.610.000	9.660.000	1.370.000	1.517.000	6.470.000	3.990.000	7.160.001
1969	6.790.000	8.780.000	8.540.000	9.550.000	9.990.000	8.540.000	5.240.000	1.300.000	2.630.000	9.800.003	1.449.000	5.800.000
1970	9.890.000	1.945.000	1.002.000	1.086.000	9.360.000	6.170.000	1.128.000	4.410.000	6.870.000	8.950.000	8.960.001	7.350.000
1971	9.780.000	5.310.000	4.050.000	3.940.000	8.450.000	1.128.000	3.520.000	6.420.000	2.900.000	4.390.000	1.295.000	2.670.000
1972	6.730.000	3.870.000	6.970.001	7.710.000	1.149.000	6.710.000	1.070.000	8.440.000	5.980.000	3.660.000	1.382.000	2.700.000
1973	4.710.001	8.100.000	1.970.000	7.520.000	1.188.000	3.640.000	7.880.000	4.070.000	7.190.000	9.840.000	9.310.000	1.054.000
1974	9.120.000	7.040.000	8.450.000	2.170.000	5.900.000	9.370.000	9.310.000	7.839.999	1.458.000	1.840.000	1.644.000	1.651.000
1975	1.283.000	2.800.000	1.230.000	7.330.000	4.520.000	6.120.000	7.260.000	6.970.000	1.030.000	2.320.000	1.228.000	4.580.000
1976	1.106.000	4.780.000	4.060.001	2.270.000	4.350.000	1.640.000	5.550.000	1.370.000	7.720.000	6.730.000	1.271.000	8.170.001
1977	1.225.000	1.759.000	7.290.000	8.930.000	5.740.001	9.600.000	7.690.000	9.959.999	2.690.000	7.620.000	1.810.000	9.840.001
1978	9.550.000	5.810.001	1.530.000	4.490.000	1.147.000	8.040.000	9.260.000	3.750.000	7.730.000	3.010.000	2.750.001	1.913.000
1979	7.120.000	9.230.000	1.752.000	9.880.000	1.115.000	6.070.000	4.570.000	8.870.000	3.900.000	6.980.000	1.488.000	2.289.000
1980	8.480.000	8.610.000	1.059.000	5.670.000	7.250.000	1.239.000	1.718.000	8.300.000	5.170.000	1.019.000	8.880.000	1.287.000
1981	1.481.000	5.820.000	1.639.000	7.480.000	8.680.000	1.417.000	8.490.000	8.089.999	1.017.000	1.872.000	9.530.001	1.738.000
1982	1.199.000	2.370.000	9.850.000	5.400.000	7.320.000	9.830.000	4.310.000	6.210.000	5.970.000	1.856.000	9.710.001	1.595.000
1983	1.411.000	8.570.000	9.780.001	1.274.000	1.718.000	9.450.000	4.460.000	2.600.000	1.051.000	5.270.000	9.800.001	8.500.000
1984	2.166.000	1.455.000	5.920.000	3.590.000	1.481.000	5.940.000	6.370.000	2.970.000	1.868.000	1.264.000	1.138.000	6.630.000
1985	8.959.999	2.970.000	9.650.000	9.390.000	6.680.000	1.152.000	6.790.000	7.799.999	4.890.000	2.340.000	9.330.001	8.390.001
1986	1.714.000	7.700.005	1.493.000	9.360.000	6.900.000	7.170.000	5.340.001	7.859.999	8.930.000	1.323.000	8.470.000	1.160.000
1987	5.830.000	9.680.000	1.287.000	4.540.000	9.490.000	1.239.000	1.433.000	8.160.000	1.046.000	1.468.000	1.144.000	4.690.001
1988	1.941.000	1.474.000	1.793.000	2.400.000	1.056.000	5.370.000	1.232.000	4.720.000	8.620.000	1.165.000	6.730.000	1.332.000
1989	4.080.000	8.380.000	1.017.000	1.571.000	3.550.000	7.480.000	5.250.000	6.320.000	6.940.000	8.360.000	5.020.000	1.591.000
1990	8.620.000	1.688.000	3.010.001	6.140.001	3.550.000	1.091.000	4.900.000	7.430.000	6.780.000	9.750.000	1.045.000	1.370.000
1991	1.030.000	3.470.000	4.240.001	5.130.000	2.280.000	9.949.999	8.130.000	1.239.999	8.190.000	6.260.000	1.667.000	8.020.001
1992	3.860.000	5.350.000	1.068.000	6.460.000	6.910.000	7.650.000	9.710.000	1.180.000	5.790.000	1.296.000	1.682.000	6.900.000
1993	1.345.000	3.060.000	1.520.000	5.560.000	8.220.001	6.340.000	1.295.000	3.870.000	1.679.000	9.190.000	4.690.001	2.607.000
1994	1.589.000	6.810.001	1.034.000	8.880.000	8.890.000	7.040.000	9.190.000	7.050.000	1.643.000	8.900.000	5.410.001	1.532.000
1995	2.304.000	1.258.000	1.396.000	8.230.000	8.990.000	5.600.000	8.610.000	7.289.999	1.255.000	7.930.000	6.340.001	8.250.000
1996	2.070.000	8.760.000	2.250.000	1.260.000	9.600.000	2.740.000	5.600.000	8.590.000	3.940.000	8.489.999	1.658.000	6.880.000
1997	2.770.000	1.383.000	3.920.000	3.800.000	1.276.000	1.618.000	6.840.000	5.980.000	3.150.000	7.990.000	1.263.000	1.313.000
1998	1.272.000	2.370.000	8.690.000	1.641.000	6.400.000	8.900.000	5.610.000	4.220.000	1.290.000	2.360.000	1.148.000	9.600.001
1999	1.244.000	1.097.000	1.357.000	7.880.000	5.500.000	8.840.000	4.930.000	8.840.000	9.610.000	7.480.000	6.450.000	2.757.000
2000	5.880.000	1.368.000	8.320.000	8.690.000	1.237.000	5.040.000	1.615.000	4.770.000	1.235.000	1.272.000	1.589.000	1.115.000
2001	1.359.000	1.038.000	1.913.000	1.393.000	3.950.000	6.080.000	1.308.000	7.570.000	1.665.000	8.940.000	1.430.000	1.076.000
2002	8.350.000	1.823.000	8.050.000	4.870.000	6.510.000	6.190.000	8.440.000	1.129.000	5.400.000	1.218.000	1.774.000	1.425.000
2003	1.526.000	4.210.001	3.890.000	6.230.000	9.170.000	5.530.000	5.280.000	5.210.000	6.240.000	1.086.000	7.720.001	8.710.000
2004	2.054.000	7.070.000	4.370.000	5.550.000	6.010.000	6.270.000	1.020.000	1.291.000	5.610.000	1.070.000	8.270.000	8.620.001
2005	8.170.000	8.950.000	5.500.000	8.100.000	7.730.000	6.070.000	1.338.000	6.580.000	6.730.000	6.050.000	8.840.001	9.930.000
2006	3.780.000	9.750.000	1.330.000	5.440.000	1.287.000	3.990.000	2.750.000	1.760.000	3.510.000	1.126.000	1.027.000	1.112.000
2007	1.145.000	1.440.000	1.045.000	5.700.005	1.263.000	1.197.000	1.366.000	9.789.999	7.370.000	4.330.000	8.500.000	1.240.000
2008	1.114.000	6.860.000	1.496.000	7.860.000	5.420.000	7.280.000	1.036.000	9.230.000	1.065.000	1.098.000	7.860.000	7.080.000
2009	7.930.000	8.460.001	9.150.001	4.720.000	6.350.000	8.860.000	1.098.000	4.260.000	3.650.000	8.020.000	1.722.000	1.362.000
2010	6.709.999	1.036.000	6.660.000	2.750.000	8.130.000	6.800.000	6.970.000	1.325.000	1.136.000	7.580.000	1.398.000	1.430.000
2011	1.181.000	5.850.000	3.090.000	2.230.000	3.010.000	8.640.000	1.141.000	1.029.000	7.030.000	6.210.000	2.050.000	2.434.000
2012	1.305.000	2.820.000	3.160.000	9.240.000	1.117.000	1.305.000	1.080.000	4.210.000	7.480.000	1.310.000	1.000.000	2.057.000
2013	9.089.999	7.710.000	6.340.001	7.310.000	1.470.000	7.040.000	6.630.000	5.080.000	1.152.000	1.522.000	1.476.000	9.040.001
2014	1.008.000	1.027.000	2.670.000	3.390.000	9.140.000	6.140.000	1.430.000	1.173.000	2.590.000	1.019.000	9.810.001	1.212.000
2015	1.635.000	7.210.001	6.700.001	4.720.000	5.780.000	4.660.000	5.560.000	1.013.000	1.202.000	4.460.000	1.365.000	7.150.000
2016	1.748.000	1.375.000	9.420.001	9.070.000	9.950.000	1.779.000	5.810.000	5.080.000	3.940.000	6.560.000	1.249.000	2.630.000
2017	8.190.000	8.930.000	7.630.000	2.170.000	5.610.001	4.070.000	1.110.000	8.470.000	1.270.000	5.960.000	1.265.000	1.858.000
2018	1.645.000	3.610.000	9.320.000	8.490.000	8.940.000	4.650.000	3.470.000	6.960.000	8.200.000	4.520.000	5.960.000	1.685.000
2019	1.029.000	7.580.000	1.156.000	4.520.000	7.220.000	7.740.000	7.090.000	5.630.000	8.390.000	1.273.000	1.115.000	1.194.000
2020	8.250.000	1.865.000	1.039.000	2.490.000	2.740.000	9.810.000	3.760.000	5.980.000	9.760.000	1.233.000	4.870.000	1.275.000
2021	1.797.000	1.054.000	6.150.000	5.410.000	1.037.000	1.121.000	1.556.000	8.720.000	5.720.000	8.780.000	7.320.001	1.301.000
2022	1.000.000	1.268.000	2.000.000	6.640.000	5.160.000	8.270.000	1.270.000	2.839.999	1.365.000	6.859.999	1.175.000	1.091.000
2023	1.614.000	1.930.000	1.678.000	9.340.000	5.780.000	3.930.000	1.286.000	1.211.000	7.830.000	1.467.000	1.947.000	1.352.000
2023	1.614.000	1.930.000	1.678.000	9.340.000	5.780.000	3.930.000	1.286.000	1.211.000	7.830.000	1.467.000	1.947.000	1.352.000
