YEARS	1	2	3	4	5	6	7	8	9	10	11	12
1943	5.600.000	7.600.000	1.090.000	1.060.000	1.190.000	1.020.000	1.240.000	1.090.000	1.040.000	8.900.001	5.700.000	6.800.000
1944	4.900.000	5.900.000	7.800.000	1.050.000	1.220.000	9.900.001	1.000.000	1.210.000	9.100.000	6.700.000	5.500.000	7.700.000
1945	5.700.000	6.900.000	8.299.999	1.100.000	1.170.000	1.200.000	1.250.000	9.700.000	9.500.000	8.900.001	4.800.001	8.000.000
1946	6.000.000	5.400.000	8.100.000	1.250.000	1.100.000	9.500.000	1.130.000	1.050.000	1.040.000	7.900.000	6.000.000	7.400.000
1947	6.000.000	6.500.000	8.200.000	1.130.000	1.180.000	1.200.000	1.220.000	1.270.000	1.270.000	1.130.000	6.100.000	7.300.000
1948	5.300.000	6.700.000	1.140.000	1.070.000	1.130.000	1.080.000	9.400.001	9.500.000	1.030.000	9.600.000	7.000.000	8.200.000
1949	5.600.000	8.600.000	9.799.999	1.200.000	9.900.001	1.200.000	1.330.000	1.160.000	1.140.000	9.200.000	6.200.000	7.500.000
1950	5.600.000	7.200.000	9.700.000	8.900.001	1.130.000	1.230.000	1.120.000	1.100.000	7.200.000	8.300.000	5.400.001	7.000.000
1951	4.100.000	6.300.000	7.900.000	1.060.000	1.060.000	1.030.000	1.160.000	9.900.001	1.000.000	1.030.000	5.700.000	7.700.000
1952	4.200.000	5.800.000	8.100.000	1.190.000	1.140.000	1.150.000	1.210.000	1.070.000	8.400.001	7.900.000	5.300.000	7.100.000
1953	4.200.000	6.200.000	1.070.000	1.120.000	1.190.000	9.500.000	9.400.001	1.150.000	1.120.000	8.400.001	6.100.000	7.300.000
1954	5.800.000	6.900.000	9.200.000	9.800.000	1.150.000	1.010.000	8.700.000	9.100.000	8.500.000	7.900.000	7.100.000	7.300.000
1955	5.400.001	6.099.999	7.900.000	1.130.000	1.070.000	1.030.000	9.500.000	1.070.000	1.010.000	8.700.000	6.900.000	8.000.000
1956	5.800.000	8.500.000	8.900.001	9.400.001	1.190.000	8.300.000	9.400.001	9.100.000	9.500.000	6.800.000	5.500.000	6.600.000
1957	5.800.000	6.400.000	9.200.000	1.110.000	1.060.000	1.220.000	9.799.999	8.900.001	8.100.000	8.400.001	4.500.000	7.400.000
1958	5.200.000	6.800.000	8.200.000	9.700.000	1.020.000	1.010.000	1.050.000	9.300.000	9.800.000	7.100.000	3.600.000	8.000.000
1959	5.400.001	7.700.000	9.400.001	1.070.000	1.140.000	1.190.000	1.310.000	1.100.000	1.340.000	1.120.000	5.800.000	7.100.000
1960	5.800.000	6.800.000	7.800.000	1.030.000	1.170.000	1.120.000	9.500.000	8.700.000	9.600.000	6.800.000	5.600.000	6.600.000
1961	4.700.000	7.800.000	1.040.000	8.700.000	9.800.000	1.070.000	1.070.000	9.800.000	1.080.000	7.900.000	5.500.000	8.600.000
1962	4.800.000	6.400.000	7.200.000	9.200.000	8.700.000	1.180.000	1.030.000	1.080.000	1.040.000	9.500.000	5.400.001	8.600.000
1963	5.600.000	7.500.000	8.600.000	9.800.000	1.010.000	1.020.000	1.160.000	8.600.000	9.300.000	8.600.000	6.600.000	7.500.000
1964	4.400.000	6.400.000	6.099.999	9.500.000	1.190.000	1.220.000	1.320.000	1.100.000	1.120.000	7.200.000	4.400.000	7.100.000
1965	3.900.000	5.500.000	8.000.000	8.600.001	9.300.000	1.030.000	8.500.000	9.900.001	8.900.001	9.900.001	5.700.000	7.100.000
1966	5.600.000	6.099.999	7.500.000	9.000.000	1.090.000	1.010.000	9.100.000	9.400.001	1.030.000	6.500.000	5.000.000	7.600.000
1967	4.800.000	7.300.000	7.599.999	1.050.000	1.080.000	1.030.000	1.210.000	1.040.000	9.200.000	7.800.000	6.100.000	7.000.000
1968	5.500.000	5.700.000	8.500.000	1.140.000	9.000.000	9.800.000	1.030.000	8.300.000	8.200.000	6.600.000	4.700.000	6.800.000
1969	4.500.000	5.900.000	7.100.000	9.200.000	1.010.000	9.700.000	1.050.000	9.500.000	1.010.000	8.800.000	6.000.000	6.600.000
1970	4.200.000	5.900.000	6.600.000	7.000.000	9.300.000	1.100.000	9.700.000	1.050.000	1.050.000	6.400.000	5.900.001	7.200.000
1971	6.300.000	5.800.000	7.800.000	1.210.000	1.070.000	9.100.000	1.260.000	1.040.000	1.180.000	1.080.000	5.800.000	7.200.000
1972	4.400.000	7.000.000	1.070.000	7.600.000	8.400.001	9.600.000	9.700.000	9.300.000	9.800.000	1.030.000	5.300.000	7.900.000
1973	4.600.000	5.400.000	9.600.000	8.600.001	1.000.000	1.100.000	9.500.000	1.160.000	1.070.000	8.300.000	6.500.000	7.500.000
1974	5.300.000	6.200.000	7.100.000	1.110.000	1.010.000	1.030.000	9.299.999	1.020.000	8.400.001	4.500.000	5.500.000	6.800.000
1975	5.200.000	8.200.000	5.800.000	8.100.001	1.020.000	9.800.000	1.040.000	1.060.000	8.700.000	6.400.000	5.700.000	6.800.000
1976	4.300.000	5.800.000	8.900.001	1.090.000	1.180.000	1.300.000	1.180.000	1.210.000	9.000.000	7.000.000	4.400.000	7.200.000
1977	3.900.000	6.200.000	8.299.999	8.500.000	9.600.000	8.600.000	9.600.000	8.500.000	9.100.000	7.400.000	5.200.000	7.100.000
1978	4.000.000	5.500.000	6.800.000	9.700.000	8.000.000	9.300.000	9.400.001	9.400.001	8.600.000	7.700.000	5.400.001	8.100.001
1979	4.900.000	5.200.000	6.200.000	8.200.001	1.020.000	9.300.000	9.700.000	9.100.000	1.010.000	8.300.000	5.500.000	6.900.000
1980	4.400.000	7.100.000	6.700.000	8.900.001	1.040.000	8.400.001	7.599.999	8.800.000	9.300.000	7.100.000	5.300.000	7.600.000
1981	4.800.000	6.400.000	6.900.000	9.100.001	9.900.001	8.700.000	8.299.999	9.200.000	9.300.000	5.900.000	5.600.000	7.100.000
1982	5.200.000	7.500.000	7.900.000	1.020.000	1.070.000	9.400.001	1.020.000	9.100.000	1.100.000	5.400.001	5.400.001	6.600.000
1983	4.700.000	6.000.000	7.000.000	8.700.000	7.000.000	1.020.000	1.240.000	1.100.000	9.400.001	7.600.000	6.600.000	7.600.000
1984	4.400.000	5.400.000	8.799.999	1.000.000	7.500.000	9.400.001	1.040.000	1.010.000	6.200.000	6.700.000	5.600.000	7.000.000
1985	5.300.000	8.000.000	6.500.000	8.800.000	8.900.001	8.600.000	1.070.000	1.010.000	1.010.000	8.800.000	4.900.000	7.400.000
1986	4.700.000	6.300.000	7.500.000	7.400.001	9.600.000	1.010.000	1.040.000	9.800.000	9.900.001	8.100.000	6.700.000	7.600.000
1987	4.500.000	5.300.000	7.400.000	1.100.000	8.800.000	7.800.000	9.100.000	8.700.000	8.800.000	7.600.000	3.900.000	6.800.000
1988	4.700.000	6.099.999	5.599.999	1.080.000	9.500.000	8.800.000	9.400.001	1.040.000	7.600.000	6.500.000	6.300.000	6.000.000
1989	4.900.000	5.500.000	9.100.000	7.200.000	1.240.000	1.060.000	1.080.000	1.070.000	9.900.001	8.500.000	7.300.000	8.000.000
1990	4.600.000	8.600.000	8.900.001	9.300.000	1.250.000	8.700.000	1.150.000	1.180.000	9.100.000	8.600.000	4.900.000	6.500.000
1991	4.900.000	7.600.000	8.100.000	1.070.000	1.020.000	8.300.000	1.080.000	1.220.000	1.090.000	7.300.000	5.300.000	7.500.000
1992	4.600.000	6.600.000	7.800.000	9.500.000	1.140.000	9.600.000	1.030.000	1.020.000	9.700.000	6.600.000	5.500.000	6.900.000
1993	6.200.000	4.700.000	9.700.000	1.010.000	1.010.000	1.020.000	9.700.000	1.120.000	7.900.000	5.500.000	4.700.000	7.400.000
1994	4.700.000	6.300.000	7.200.000	9.000.000	8.900.001	1.040.000	1.180.000	9.800.000	7.700.000	8.700.000	4.700.000	7.400.000
1995	5.400.001	6.099.999	8.000.000	8.400.002	1.050.000	8.800.000	1.150.000	1.060.000	8.100.000	7.600.000	5.900.001	6.900.000
1996	4.300.000	5.800.000	8.200.000	1.150.000	8.700.000	1.050.000	1.060.000	9.800.000	9.100.000	7.700.000	4.600.000	6.800.000
1997	4.900.000	6.800.000	8.100.000	1.050.000	1.020.000	9.200.000	9.900.001	1.110.000	1.160.000	8.200.000	5.600.000	6.800.000
1998	5.100.000	8.500.000	7.800.000	8.100.001	1.020.000	9.500.000	8.900.001	1.130.000	7.500.000	5.700.000	5.300.000	6.900.000
1999	5.300.000	5.800.000	7.400.000	9.100.001	1.000.000	1.020.000	1.070.000	1.010.000	9.800.000	7.600.000	5.400.001	7.000.000
2000	4.800.000	7.100.000	7.300.000	9.800.000	1.000.000	1.110.000	8.799.999	1.070.000	8.700.000	6.500.000	5.500.000	6.900.000
2001	5.300.000	6.700.000	6.600.000	8.400.002	1.070.000	1.030.000	1.070.000	1.060.000	7.800.000	7.900.000	6.100.000	7.700.000
2002	5.600.000	6.500.000	9.100.000	1.020.000	9.600.000	1.070.000	9.600.000	9.100.000	9.300.000	7.600.000	5.200.000	6.900.000
2003	5.300.000	8.000.000	1.060.000	1.130.000	1.010.000	1.170.000	1.140.000	1.240.000	1.240.000	7.900.000	6.300.000	7.900.000
2004	4.900.000	6.500.000	8.500.000	1.010.000	1.030.000	1.040.000	1.030.000	9.700.000	9.800.000	7.600.000	5.000.000	7.000.000
2005	5.200.000	5.599.999	8.299.999	9.500.000	1.060.000	1.160.000	1.020.000	9.900.001	1.000.000	8.600.000	5.700.000	6.800.000
2006	5.300.000	5.200.000	7.400.000	9.300.000	9.700.000	1.150.000	1.270.000	8.200.000	1.030.000	8.100.000	6.900.000	8.100.001
2007	4.900.000	6.900.000	8.799.999	1.200.000	1.030.000	9.700.000	9.799.999	9.500.000	9.600.000	8.000.000	5.400.001	7.200.000
2008	5.800.000	9.100.000	7.300.000	9.200.000	1.130.000	1.030.000	1.110.000	9.700.000	9.400.001	8.000.000	5.600.000	6.800.000
2009	5.600.000	6.300.000	7.800.000	1.130.000	1.070.000	1.000.000	1.050.000	1.150.000	9.700.000	7.600.000	6.200.000	7.800.000
2010	4.100.000	6.000.000	8.500.000	1.150.000	8.400.001	1.030.000	1.130.000	9.000.000	9.600.000	8.000.000	5.100.000	7.100.000
2011	4.600.000	6.400.000	9.799.999	1.230.000	1.210.000	1.000.000	1.010.000	1.050.000	1.040.000	8.700.000	6.300.000	7.600.000
2012	4.700.000	7.200.000	1.010.000	9.400.001	1.080.000	9.600.000	9.799.999	1.130.000	1.030.000	7.400.000	5.200.000	7.500.000
2013	3.900.000	5.300.000	7.000.000	9.300.000	8.600.000	9.800.000	1.180.000	1.090.000	8.800.000	7.300.000	4.700.000	8.300.000
2014	4.900.000	7.300.000	1.060.000	1.020.000	1.000.000	1.100.000	9.799.999	8.900.001	9.700.000	7.700.000	5.300.000	7.000.000
2015	4.900.000	6.500.000	9.000.000	1.160.000	1.010.000	1.040.000	1.150.000	1.130.000	9.400.001	7.100.000	6.600.000	8.100.001
2016	5.200.000	6.300.000	7.900.000	9.500.000	1.010.000	9.100.000	1.050.000	1.110.000	1.080.000	7.400.000	6.000.000	8.000.000
2017	5.600.000	7.100.000	9.299.999	1.030.000	1.110.000	1.140.000	1.040.000	1.030.000	9.100.000	8.200.000	5.400.001	7.100.000
2018	4.900.000	5.800.000	8.000.000	1.180.000	1.130.000	1.050.000	1.230.000	1.160.000	1.150.000	9.400.001	5.900.001	7.000.000
2019	4.400.000	8.300.000	8.799.999	1.110.000	1.010.000	1.200.000	1.140.000	1.100.000	1.020.000	7.700.000	5.300.000	8.100.001
2020	6.000.000	7.600.000	9.000.000	1.210.000	1.180.000	1.020.000	1.170.000	1.110.000	1.070.000	7.000.000	6.700.000	7.000.000
2021	4.400.000	8.300.000	9.500.000	1.080.000	9.400.001	1.100.000	9.900.001	8.900.001	1.050.000	8.800.000	5.100.000	7.300.000
2022	4.900.000	7.700.000	9.700.000	1.020.000	1.130.000	1.210.000	1.280.000	1.230.000	9.600.000	8.600.000	6.400.001	7.400.000
2023	4.700.000	7.400.000	8.299.999	9.000.000	1.020.000	1.250.000	1.090.000	9.700.000	1.140.000	8.900.001	5.500.000	7.300.000
2023	4.700.000	7.400.000	8.299.999	9.000.000	1.020.000	1.250.000	1.090.000	9.700.000	1.140.000	8.900.001	5.500.000	7.300.000
