YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1897	0	4.1	6.8	8	11.2	17	16.8	17.5	12.8	9.8	4.9	3.1
1898	3.6	3.1	3.1	8.4	11	14.4	15.2	19	15.9	11	6.7	5
1899	4	4.2	4	7.8	10.9	15.1	17.7	18.4	14.2	9.3	8.1	-1.5
1900	3.1	2.4	3	7.6	11.1	16.1	19.1	16.1	14.6	10	6.2	5
1901	1.2	-1.8	3.2	9	12.5	15.7	19	17.4	14.8	10.3	4.3	2.3
1902	4	0	6	8.9	8.8	14.9	16.2	15.6	13.9	8.3	4.7	1.2
1903	2.7	5.2	7.6	5.4	13	14.9	16.7	15.7	15.4	11.4	5.7	0.6
1904	0.5	2.9	3.5	9.9	12.8	14.9	19.2	17.2	12.8	9.7	4.6	4.3
1905	0.5	3.4	6.7	7.6	12	17.3	18.5	16.5	13.5	6.1	4.2	2.5
1906	3.2	2.2	4.3	8.1	13	14.8	17.5	17.8	14.2	12.8	7.1	0.2
1907	1.6	0	5.4	8	12.9	14.3	14.3	16.2	15.3	11.6	6.5	3.4
1908	-0.9	3.2	3.5	6.5	13.9	16.7	17.3	15.2	14.4	11.6	5.2	1
1909	0.7	0.8	3.5	9.7	11.5	13.6	14.6	17.3	13.4	11.6	3.5	3.2
1910	2.9	3.7	5.8	8	12.4	16.6	15.5	16.5	13.8	11.4	3.5	5.4
1911	0.2	3	5.6	8	13.8	15.1	19.6	21	16.5	10.1	5.6	5.4
1912	3	5.5	7.6	8.8	13.1	15.9	18.6	14.2	10.7	8.6	4.8	5.6
1913	3.7	3.7	7.3	9	13.6	14.8	14.8	15.8	14.5	12	8.3	3.1
1914	-1.7	6.4	6.2	11.1	11.8	14.4	17.5	17.9	14.1	9.7	4.8	4.8
1915	2.4	3.3	4.3	7.7	13.7	16.9	16.4	16.5	13.9	8.3	2.3	5.7
1916	5.7	2.7	5.1	8.9	13.9	12.7	15.5	17.2	13.9	10.3	5.6	2.3
1917	-1.1	-2.5	2.4	4.9	15.7	18.4	16.9	16.5	15.2	8.2	6.7	-0.7
1918	2.8	4.5	5.7	9.1	14.8	13.9	16.6	16.9	14	9.2	4.6	5.8
1919	1.6	0.9	4.5	6.3	13.7	15.8	14.1	17.2	15.6	7.6	2.1	3.9
1920	3.8	6.1	7.7	9.6	13.6	15.6	16.5	14.5	13.6	10.5	4.2	2
1921	5.9	3.4	7.2	9	13.8	15.5	19.7	17.8	15.4	14.5	2.2	2.5
1922	1.2	2.5	4.9	6.7	14.3	15.7	15.4	15.4	12.8	6.7	3.9	4
1923	3	4.9	6.9	8.7	11.1	12.1	19.1	16.8	13.8	11.4	3.2	1.1
1924	1.9	0.4	4.3	7.7	14.2	15.3	16.8	14.7	14.4	11.3	5.6	4
1925	3.9	4.7	3.6	8.6	14	15.1	18.1	16.5	11.8	10.4	2.8	2
1926	2.6	7.3	6.1	10.3	11.2	13.8	18	16.6	16.3	8.6	7.1	1.2
1927	3.5	3.1	7.6	8.5	11.9	14.5	17.7	17	14.5	10.5	4.8	-0.9
1928	3.6	5	6.2	9	11.2	14.8	18.3	17.5	13.9	10.2	7.2	2.2
1929	-1.7	-3.8	5.6	6.3	13.4	14.2	17.8	16.9	17.7	10.2	6.4	5.6
1930	5.5	1.9	6.3	10	12.1	17.7	16.6	17.4	14.7	10.7	7.4	2.6
1931	2.7	1.4	4	8	14.4	16.5	16.9	15.7	11.7	9.1	7.3	2.5
1932	4.2	0.7	4	7.4	12.7	15.7	17.8	20.4	15.6	9.7	5.6	4.3
1933	0.3	2.9	7.9	9.1	12.6	15.5	18.4	18.2	15.5	10.7	4.4	-3.1
1934	2.2	2.6	5	11.3	12.5	16.7	18.6	17.1	17.1	11.4	5.2	7
1935	2.4	4.1	5.7	8.5	11.6	16.9	18.4	17.9	15	9.9	7.5	2.2
1936	4.8	2.3	7.7	6.7	13.3	16.6	17	17.5	15.1	8.3	4.9	3.1
1937	4.1	5.4	3.9	9.3	14.7	16.2	17.3	18	14.3	11.6	5	1.5
1938	3.5	3	9.1	6.5	11.4	16.2	16.8	18.6	15.9	10.3	8.9	1
1939	4.6	4	4.7	10.3	11.9	16.7	17.3	17.8	15.2	8.6	8	1
1940	-4.1	1.2	6.5	9.9	13.9	17.3	16.4	15.7	13.9	9.6	6.9	-0.2
1941	-1.9	2.5	6.3	7.5	10	17.6	19.4	15.8	15.4	10.1	5.4	3.7
1942	-4	-3.7	5.3	10.2	13	15.7	16.8	19	16.2	12.6	5.2	4.3
1943	3.6	4.5	7.2	11.5	14.1	15.2	17.8	17.7	14.5	12.1	4.9	1.3
1944	4.7	0.6	3.1	10.5	12.1	14.8	17.7	20.1	13.7	9.6	5.9	2.3
1945	-2.9	6	7.9	10.8	14.6	16.8	18.9	16.8	15.5	12.2	5.4	3.8
1946	0.2	4.7	5.4	11.4	13.4	14.2	18.1	15.9	15.2	9.8	6.3	-0.2
1947	-0.5	-3.5	5	10.9	15.7	18.5	19.5	20.4	17.7	10.5	6.8	3.5
1948	5.1	3.1	8.5	10.6	13.6	15.6	16.6	17.1	15.1	10.3	6.7	4.1
1949	4.2	4.9	4.1	12	11.9	14.9	18.3	18.1	18.7	12.7	5.2	3.9
1950	1.2	6	7.2	8.2	13.9	18.1	18.5	18	13.7	10	6	-1.4
1951	3.7	3.6	3.9	7.3	11.3	15.2	17.4	16.6	15.4	8.9	8.6	4.6
1952	2.2	1.9	6.4	11.6	14.2	16.2	18.4	17.5	11.4	8.8	3.5	1.9
1953	0.8	2.5	5.8	9.6	14.1	15.6	17	17.2	14.4	11.8	6.4	6.2
1954	-0.2	0.9	7.1	7.4	13.1	15.2	14.9	16.1	13.9	11.9	7.1	5.8
1955	1.5	0.8	2.8	9.4	11.1	15.4	18	18.2	14.8	9.4	6.4	4.9
1956	2.8	-6.1	6.2	6.8	13.4	12.9	16.8	14.6	15.4	9.9	4.8	5.7
1957	3.2	5.9	9.6	8.9	10.9	17.1	18.2	15.9	13.4	10.6	6.2	3
1958	3	4.7	3.3	7.1	13.2	15.1	17	17.2	16.1	10.8	5.2	4.7
1959	1.9	1.8	7.9	10.4	14.1	16.8	19.8	18	16.1	11.9	5.8	5.1
1960	2.8	4.1	6.9	9.4	14.2	16.8	15.4	16.5	13.9	10.8	7.8	3
1961	2.7	7.2	8.1	11.9	11.6	15.6	15.9	16.8	17.5	11.6	5.3	2.7
1962	3.8	2.8	2.8	8.9	10.4	14.9	15.6	16.2	13.8	10.8	4.8	0.6
1963	-4.6	-2	5.9	9.6	11.6	16.1	17.5	15.6	14.2	10.2	8.9	-0.4
1964	0.8	4.8	3.5	9.4	15.2	16.1	18.1	17	15.1	8.1	6.6	2.3
1965	2.8	1.6	5.8	8.4	12.6	15.4	14.9	16.1	13.4	11.1	4	4.8
1966	1	6.7	5.6	9.6	13.2	17	15.9	16.4	14.6	11.9	4.8	4.8
1967	3.5	5.7	7.1	8.6	13.1	15.1	18.9	17	14.4	11.9	4.8	2.5
1968	2.5	2	5.4	10.1	11.2	15.4	16.4	16.8	14.6	12.2	5.2	0.3
1969	4.8	0.9	4.7	8.8	13.6	15.4	18.5	17.5	15.1	12.8	6.3	-0.4
1970	3	2.2	3.5	6.3	13.4	18.2	16.4	17.4	15.4	10.9	8.4	2.3
1971	3.5	4	3.2	9.1	15.1	14.4	18.9	17.2	14.2	10.6	4.9	5.2
1972	2	4.6	7.8	8.1	11.9	14.1	17.5	16	12.1	9.4	5.6	4.7
1973	3.2	3	5.9	6.8	12.9	17.1	17.5	19	15.4	9.4	5.3	3
1974	5.9	4.8	6.3	10.4	12.1	15.4	15.8	17.1	12.9	7.1	6.7	7.1
1975	6.3	4.2	4.7	7.9	11.6	15.4	18.6	19.9	15.2	8.9	5.2	2.5
1976	4.1	3.5	4.2	8.4	14.4	19.5	20.5	18.6	14.4	11.6	6.4	1.2
1977	3	5.2	7.7	6.8	12.4	14.4	17	16.1	13.4	11.9	6.4	5.4
