YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1955	115	102.9	26.3	16.5	150.6	85.3	66.7	66.6	77.1	50.5	43.7	186.7
1956	111.6	47	105.2	75.4	62.2	99.8	58.9	128.6	77.5	156.1	101.7	94.2
1957	86.1	237.1	75.2	99.3	59.9	143.6	129	148	194.8	65.5	75.7	80.1
1958	131.1	226	46	89.3	113.8	89.3	89.8	205	105	104.2	66.8	171.6
1959	108.1	6.3	86.6	100	44.6	51.9	83.9	41.3	13.2	87.6	91.1	120.8
1960	87.9	69.2	62.1	49.2	57.9	126.8	132.6	109.9	84.8	150.5	155.3	127.1
1961	196.2	113.8	31.1	75.9	70.3	97.5	109.2	62.5	76.5	154	118.2	128.5
1962	153.4	126.6	104.3	105.8	97.5	13.8	101.9	90.3	108.8	56.9	47.4	121.1
1963	39.9	23.9	95.9	47.4	101	136.4	35	155.2	67.9	95.6	223	17.6
1964	37.9	29.3	66.9	68.5	30.5	77.9	42.7	71.1	54.9	123.5	130.5	102.5
1965	150.6	28	92.8	114.1	100.5	70.3	164.9	128.5	100.1	33.2	140.8	277.5
1966	69.9	113.5	82	139.5	91.2	112.4	114.3	94	47.5	162.9	117.2	269.6
1967	60.6	92.8	70.6	65.2	101.5	15.5	67.6	101.3	81.7	154.2	112.9	131.1
1968	116.2	91.5	76.4	33.2	52.3	69	153.2	94.9	195.5	60.6	42.2	69.1
1969	64.3	64.4	82.2	112.1	87.4	141.8	54.4	139.1	16.9	11.4	161	67.2
1970	63.4	188.8	91.2	137.3	73.6	53.3	94.2	69.3	41	68.8	133.5	56.7
1971	115.6	63.9	44.7	33.6	144	143.4	33.6	67.7	21	20	136.4	29.9
1972	85.5	56.6	74.9	115.6	113.1	50.8	160.7	73.2	68.1	36.7	127	38.9
1973	44.4	106.7	16.8	71.9	98.8	50.2	60.1	18.2	106.3	77.6	76.7	95.3
1974	120.6	78.3	100.3	28.6	44.8	91.1	61.9	69.6	166.2	184	152.5	184.2
1975	150.4	19.7	153.1	68.5	47.6	44.3	49.6	112.4	129.2	33.7	139.6	44.1
1976	87.3	52.6	43.6	23.8	39.8	7.4	69.8	7.3	87.7	86.1	122	52.2
1977	103.4	126.2	67	109.5	78.8	133.8	153.3	109.7	28.6	55.3	145.1	76.8
1978	98.9	56.4	163.5	60.9	101.7	139.4	104	68.5	67.7	32.9	25.9	147.3
1979	53.4	87.7	206.5	79.7	79.8	89.4	45.1	108.7	25.1	88.2	185.2	171.4
1980	70.1	91.2	110.2	47	93.4	136.7	197.5	89.6	35.9	131.6	88.4	135.6
1981	133.9	56.7	135.8	46.8	121.5	105.8	87.1	75.9	72.1	223.9	81.2	155.2
1982	88.6	21.3	107.7	52.3	136.7	148.8	48.2	69.9	96.8	132.6	119.7	159.4
1983	130.9	77.4	103.8	108.3	148.9	113.6	32.3	17.4	108	52.6	98.7	73.1
1984	246.7	134.7	82.2	44.3	119.8	51.8	63.6	54.7	171.6	139.7	144.9	75.1
1985	91.6	31.3	161.9	120.2	65.5	137	81.1	74.3	54.8	21.1	95.8	73.6
1986	192.2	5.6	163.7	111.5	69.6	93.9	46.7	126.9	95.7	138.4	135.8	138.5
1987	67.7	120.5	154.7	51.6	90.4	156.7	161.5	107.1	91.2	227.4	180.6	48.8
1988	273.1	158.1	253.6	16.6	179.7	87.4	164.1	51.2	143.3	222	107.5	145.2
1989	64.5	108.8	138.3	180.6	62.5	89.3	51.7	66.5	73.7	107	50.2	209.6
1990	127	168.7	32.4	86.6	18.7	117.8	48.9	65.1	58.9	114.3	105.9	156.9
